Algo,Avg,Median,Min,Max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
brute_fizzbuzz,0.408333959,0.41058575,0.39908,0.4158568,0.3994424,0.4107985,0.4088017,0.4078194,0.4109769,0.4109581,0.4109085,0.4050696,0.4086553,0.4108558,0.4156756,0.410957,0.4111003,0.3994419,0.410736,0.4117141,0.4101982,0.4109537,0.4001405,0.4058022,0.4113247,0.4109523,0.4158568,0.4084859,0.4115111,0.411682,0.4040712,0.4045699,0.4108042,0.401914,0.3999281,0.4106475,0.4111306,0.4108892,0.4067192,0.4091308,0.4110451,0.4111321,0.4113758,0.4110408,0.4044222,0.4111755,0.4110769,0.4111886,0.410911,0.404907,0.4069201,0.4130358,0.4132846,0.4111106,0.4087914,0.405818,0.4050638,0.4049365,0.4111968,0.411194,0.3993146,0.3994583,0.4047106,0.4108793,0.414729,0.4050421,0.4016554,0.4153414,0.4032762,0.4104005,0.4108846,0.4013574,0.39908,0.4054063,0.4107525,0.4106872,0.4095501,0.403684,0.4106192,0.4107647,0.4100852,0.4103768,0.3995797,0.4107778,0.410643,0.4110545,0.4103299,0.4018852,0.4034384,0.4081351,0.4104152,0.4105715,0.4106017,0.4034103,0.410814,0.4029303,0.4106421,0.4104944,0.4000898,0.4085566,0.4107898,0.4107047,0.4106,0.4086267
worsebrute_fizzbuzz,0.40853067,0.4104857,0.3998531,0.4113386,0.4054284,0.4098291,0.4093654,0.4049098,0.411041,0.4111694,0.4107931,0.4053446,0.4109285,0.4108184,0.4109751,0.4108751,0.4017878,0.4051405,0.4110052,0.41098,0.4078764,0.4109728,0.4045378,0.4108642,0.4108912,0.411093,0.4107523,0.4009769,0.4107997,0.4109037,0.4052951,0.4103494,0.4036419,0.4071179,0.402716,0.4113386,0.4109621,0.410881,0.3998531,0.4109642,0.4110934,0.4113128,0.4109283,0.4048517,0.4085978,0.4111641,0.4108371,0.4109817,0.4099373,0.410839,0.4108812,0.4110628,0.4110839,0.4112,0.4058772,0.4100438,0.4109694,0.4068454,0.4112057,0.4070396,0.4055516,0.4046742,0.4111405,0.4109913,0.4110228,0.407549,0.4076502,0.4100641,0.4013297,0.410548,0.4017081,0.40583,0.4010234,0.4073787,0.4105173,0.4104925,0.4060834,0.4103795,0.4105959,0.4106681,0.409712,0.4075765,0.403374,0.4103757,0.4105255,0.410531,0.4098035,0.4082015,0.4044345,0.4054453,0.4104789,0.4107496,0.4049047,0.4044218,0.4105816,0.4015282,0.4107213,0.4094625,0.4095468,0.410584,0.4108234,0.4107616,0.4105328,0.4028611
accumulate_fizzbuzz,0.619932373,0.61990625,0.6188068,0.6226539,0.6202406,0.6209517,0.6200002,0.619868,0.6199308,0.6196958,0.6209354,0.6203812,0.6201218,0.6226118,0.6196844,0.6202828,0.6204758,0.620267,0.6201906,0.6203331,0.6196337,0.6203656,0.6202195,0.6200881,0.6196765,0.6196408,0.6205069,0.6226539,0.6198851,0.6203422,0.6199891,0.6204506,0.6207858,0.620456,0.6198097,0.6198401,0.6198782,0.6209215,0.6206196,0.6198049,0.6198935,0.6198287,0.620398,0.6203846,0.6200087,0.6203077,0.6202637,0.6197125,0.6207317,0.6200132,0.619906,0.6200246,0.6218459,0.6201289,0.6203708,0.6200168,0.620171,0.6204293,0.6202103,0.6204242,0.6199065,0.6197456,0.6199332,0.6198811,0.620994,0.6208751,0.6190533,0.6189762,0.6193925,0.6192263,0.6197314,0.6194706,0.6189122,0.6188068,0.6188499,0.6201143,0.6218429,0.6188917,0.6188163,0.618948,0.6200194,0.6198496,0.6200036,0.6193153,0.6188705,0.6188821,0.6191461,0.6194186,0.6194941,0.6192818,0.6190385,0.6196905,0.6195179,0.6190713,0.6189417,0.6191241,0.6190715,0.6202043,0.6188684,0.6191178,0.6190275,0.6189685,0.6197794,0.619558
compositional_fizzbuzz,0.407376408,0.40918285,0.397688,0.4127639,0.4040203,0.4058297,0.397688,0.40977,0.4093862,0.405555,0.402959,0.4050497,0.4094019,0.4089567,0.4095301,0.4044249,0.4095523,0.4098263,0.4101256,0.4095831,0.4048691,0.406185,0.4096744,0.4099898,0.4097455,0.4087056,0.4043617,0.4045418,0.409693,0.4100511,0.4098502,0.4032407,0.3999696,0.4091062,0.4097346,0.4099561,0.4095555,0.4028171,0.4095157,0.4093745,0.4092026,0.409498,0.3994152,0.4092692,0.4105775,0.4098111,0.4089509,0.4094894,0.4033838,0.406237,0.4097105,0.4099554,0.4096611,0.4012199,0.4103044,0.4096769,0.4098392,0.4127639,0.4070585,0.399075,0.4097317,0.4094499,0.4093805,0.4048942,0.402728,0.409373,0.4096853,0.4086476,0.4075555,0.4065846,0.409598,0.4021687,0.4090339,0.4114141,0.4034292,0.4013858,0.4096273,0.4093133,0.4091625,0.4089973,0.4033044,0.4096971,0.4090315,0.4089558,0.4094457,0.3999542,0.4061494,0.4092135,0.4093852,0.4091631,0.4090798,0.4010379,0.4090634,0.4069437,0.4092931,0.402148,0.4008053,0.4092084,0.409684,0.4094979,0.4090792,0.4086032,0.3996776,0.4093635
bitaccumulate_fizzbuzz,0.431947604,0.4321037,0.4271722,0.4353882,0.4303005,0.4339116,0.4299956,0.431988,0.4335398,0.4301227,0.4342318,0.4301162,0.4338688,0.4339184,0.4315691,0.4304395,0.4339192,0.430109,0.4337871,0.4333911,0.4311374,0.4337067,0.4353882,0.4337257,0.4337674,0.4302002,0.4302973,0.4302983,0.4337368,0.4337998,0.4278931,0.4313295,0.4298554,0.4336925,0.4338292,0.4351853,0.4310785,0.430286,0.4312485,0.4338102,0.4336635,0.4316405,0.4307042,0.4335434,0.4337652,0.4335703,0.4336716,0.4288978,0.4299447,0.4299416,0.4337955,0.4336909,0.4304326,0.4303932,0.433925,0.4339484,0.4336844,0.4329511,0.4301978,0.4339881,0.4341817,0.4328591,0.4304337,0.4304163,0.4296958,0.4312444,0.4301859,0.4335375,0.4316925,0.4271722,0.4298252,0.4299646,0.4334609,0.4337027,0.4295461,0.4301238,0.4331456,0.4334323,0.4335326,0.4272845,0.4298434,0.4319195,0.4309541,0.4330729,0.4336044,0.4302066,0.4300707,0.4336187,0.4334414,0.4335177,0.4302457,0.4296977,0.4322194,0.4295369,0.433502,0.4297902,0.4298722,0.4333288,0.4334792,0.4335703,0.4336227,0.4309117,0.4296665,0.4338061
matchbox_fizzbuzz,0.409592448,0.4123591,0.3986988,0.4176746,0.4012852,0.413587,0.4131255,0.4126023,0.4078198,0.4026705,0.4128937,0.4124998,0.4127681,0.4127116,0.4050047,0.4014363,0.4131566,0.4127708,0.4132353,0.4050387,0.413145,0.4125391,0.4125808,0.4176746,0.4095037,0.4056537,0.4126362,0.4130278,0.4121794,0.4134086,0.4022038,0.4126565,0.4051805,0.4123522,0.4131027,0.4128174,0.4096622,0.4009103,0.4125537,0.4128795,0.4128949,0.4051281,0.4130559,0.4125507,0.4152995,0.4131864,0.4048891,0.4051904,0.4050274,0.4005863,0.4129222,0.4123112,0.4077938,0.414761,0.4126143,0.4126331,0.4127973,0.4012232,0.4129428,0.4135709,0.4133441,0.4127799,0.4052279,0.4014835,0.4108866,0.4123717,0.4129193,0.4120881,0.4072777,0.4125372,0.4127023,0.4121113,0.4125941,0.4055996,0.4068554,0.4122887,0.3986988,0.414563,0.4117557,0.4030577,0.4043929,0.4124173,0.413138,0.4123851,0.4067098,0.4046968,0.4087275,0.412366,0.4126046,0.4102501,0.4020049,0.4035302,0.4119547,0.4067061,0.4127405,0.3988866,0.4009223,0.4120897,0.412671,0.41253,0.4089421,0.4011983,0.4034853,0.4121003
branchless_fizzbuzz,0.83132986,0.83125575,0.829375,0.8368611,0.8311235,0.8319081,0.8349532,0.8318414,0.830901,0.8311163,0.8299852,0.8304054,0.8312624,0.8319186,0.8314613,0.8306569,0.831631,0.8322901,0.8321094,0.8319845,0.8315226,0.8323027,0.8313082,0.830692,0.8311381,0.8321139,0.8297213,0.832017,0.8310842,0.8321549,0.8307493,0.8321181,0.8297368,0.8368611,0.8319101,0.8317011,0.8309112,0.8310975,0.8313507,0.8310445,0.8313119,0.8307789,0.8296376,0.8321027,0.8313195,0.832588,0.8322328,0.8323957,0.8322858,0.8309531,0.8314524,0.8320673,0.8305969,0.8317344,0.8311949,0.8315756,0.8316922,0.8331156,0.8303315,0.831754,0.8312689,0.8318599,0.8311692,0.8311333,0.8358729,0.8320827,0.8298158,0.8313004,0.8309684,0.8312433,0.8303086,0.8305752,0.8309732,0.8317299,0.8303388,0.8316563,0.8300722,0.8311393,0.8311717,0.8311554,0.8296891,0.8313156,0.8305495,0.8313986,0.8306568,0.8313945,0.8306592,0.8309965,0.8333277,0.8318277,0.8308576,0.829375,0.8297478,0.8300096,0.8307119,0.8314967,0.8294634,0.8307857,0.8295852,0.83182,0.8301917,0.8312491,0.8303896,0.8314477
smartbranchless_fizzbuzz,0.463881771,0.4621437,0.4559619,0.4776058,0.461018,0.4619036,0.476674,0.4609169,0.4594297,0.4676839,0.4680234,0.4593003,0.4643975,0.4604406,0.4677081,0.4588288,0.4674571,0.4657745,0.4631714,0.4767608,0.4622208,0.4678157,0.4672988,0.4601056,0.458754,0.4595823,0.4619623,0.468092,0.4626523,0.4615101,0.4596139,0.4669491,0.4600672,0.463593,0.4608369,0.4668861,0.4678473,0.4677264,0.4594011,0.4644747,0.4603595,0.4665222,0.4680073,0.4677844,0.4732943,0.4596498,0.4643955,0.4559619,0.4682395,0.4620622,0.4607124,0.4593493,0.4594843,0.4682028,0.4776058,0.4601008,0.461106,0.468243,0.4677901,0.4678027,0.4762043,0.459962,0.46687,0.4592213,0.4678065,0.4641739,0.4612092,0.4595078,0.4608611,0.474885,0.4590673,0.4645499,0.4603821,0.4676741,0.4612931,0.4676556,0.4587025,0.4632133,0.4607072,0.4678933,0.4620276,0.4593297,0.46495,0.4617869,0.4605853,0.4594161,0.4681849,0.4675059,0.460466,0.4590949,0.4596728,0.4588542,0.4679622,0.4597976,0.4620666,0.4616328,0.4650769,0.4679078,0.4668074,0.4604742,0.4676999,0.4591899,0.4596728,0.4626232
branchful_fizzbuzz,0.444799967,0.4447638,0.4416377,0.4489821,0.4461036,0.446236,0.443273,0.443214,0.4439142,0.4489821,0.4462828,0.4436175,0.4442179,0.4429321,0.4464577,0.4431291,0.4463906,0.444529,0.446434,0.4443131,0.4464358,0.4464074,0.4434187,0.4458941,0.4435765,0.444945,0.4463627,0.4464962,0.4432974,0.4426924,0.4436219,0.4445792,0.4451088,0.4435243,0.4451159,0.4464869,0.4465696,0.4463327,0.4455856,0.4428912,0.4418646,0.4430399,0.4469202,0.4453909,0.4438906,0.4470338,0.4468313,0.4448228,0.4467358,0.4440373,0.4433748,0.4436984,0.4426008,0.4453849,0.4462258,0.4431152,0.4443737,0.4460502,0.4470879,0.4466777,0.4425969,0.4428044,0.4469781,0.4423071,0.4447733,0.4448377,0.4444888,0.4424852,0.4469609,0.4443537,0.4462072,0.4422464,0.4430872,0.4446235,0.4430407,0.4470326,0.4447543,0.443499,0.4466283,0.446145,0.4467318,0.4452392,0.4429268,0.4428063,0.4467159,0.4460302,0.4465079,0.4431791,0.4445491,0.4453189,0.445897,0.4427049,0.4454515,0.4426544,0.4428249,0.4447366,0.444275,0.4457013,0.4431818,0.4428895,0.4462579,0.4460194,0.4473837,0.4416377
doof_fizzbuzz,0.409001909,0.4107218,0.4009717,0.413815,0.4109629,0.4113858,0.4040187,0.4112785,0.4109831,0.4110089,0.4109699,0.4042746,0.4112743,0.4111855,0.4111691,0.4108029,0.4035381,0.4056648,0.413815,0.410978,0.411288,0.4109005,0.4112688,0.4108688,0.4110143,0.4108782,0.4105959,0.4071556,0.410421,0.4020769,0.4017677,0.4110046,0.4085769,0.4112625,0.4107664,0.4113044,0.4113339,0.4114538,0.402313,0.4110132,0.4110739,0.410854,0.4111402,0.4102107,0.4029923,0.4110006,0.4112146,0.4111495,0.4111055,0.4031314,0.4109974,0.4110709,0.4109236,0.4111312,0.4046972,0.4044777,0.40324,0.4109149,0.4111378,0.4075759,0.4041444,0.4071274,0.410893,0.4109686,0.4107233,0.4090431,0.4105811,0.4031907,0.4104477,0.4106503,0.4044088,0.4009717,0.403359,0.4104293,0.4108972,0.4106161,0.4106871,0.4058268,0.4109728,0.4107607,0.4107137,0.402066,0.4083915,0.4107122,0.4108096,0.4106099,0.4107655,0.4042054,0.4055817,0.4108804,0.4105802,0.4104873,0.4025392,0.4106976,0.4027717,0.410688,0.4104655,0.4107757,0.4079187,0.4107798,0.4107203,0.4108925,0.410566,0.4082596
